Reviews,Positive,Negative,Neutral,New sentiments
phone 14 pro max unstoppable dream come true  thank u phone,0.483,0.119,0.397,positive
wowww,0.0,0.0,1.0,neutral
nice phone,0.737,0.0,0.263,positive
purchased iphone first time loved camera quality would ask apple please provide feature guide know utilize iphone fully feel like worth paying lac rupee,0.358,0.0,0.642,positive
think much hype created camera dynamic island talk camera gotten better image iphone 13 comparison iphone 14 pro max design build damn good sure display crisp clear feel premium hold heavy could feel lot weight hand sound great onboard speaker loud clear however want feel bass use headphone airpods,0.394,0.04,0.565,positive
thanks khatu wale🙏 thank much mahadev🙏 finally got iphone 14 pro max😘,0.351,0.0,0.649,positive
excellent phone,0.787,0.0,0.213,positive
device lit  upgraded iphone 13 camera great  battery last day loved first little doubt phone would genuine thorough check receiving everything fine indian model curious would suggest buy device flipkart instead buying apple authorised store would save ten thousand  anyways great device great performance ,0.381,0.036,0.583,positive
one best smartphone buy right nowlets start pro phonedynamic island joyalwayson screen gorgeousexquisitely premium designbeautiful 120hz displayincredible 48121212 mp camera systemblistering performanceoutstanding battery liferobust io 16 softwarenow let talk little consone heaviest phone buyexpensive,0.113,0.0,0.887,positive
awesome mobile proud iphone user thanks flipkart quick delivery camera wow battery awesome,0.692,0.0,0.308,positive
madly love phone performance blazing fast love pro motion display dynamic island work advertised love feature 😍 would like thank flipkart organising stock delivering phone time delivery date,0.471,0.063,0.466,positive
superb performance,0.804,0.0,0.196,positive
satisfied product ,0.737,0.0,0.263,positive
thank,1.0,0.0,0.0,positive
nothing say 😜 awesome 😎,0.0,0.622,0.378,negative
amazing 🤩 👌👌,0.792,0.0,0.208,positive
good good much money go feel heavy hand camra battery performance next level spend money carefully thanks flipkart,0.508,0.0,0.492,positive
nice superb camera qualityfeel premiumthanks flipkart delivery within 2 daysgolden colour awesome,0.579,0.0,0.421,positive
awesome product,0.804,0.0,0.196,positive
genuine product,0.0,0.0,1.0,neutral
awesome,1.0,0.0,0.0,positive
awesome experience,0.804,0.0,0.196,positive
thank seller im happy iphone 14 pro max got deep purple colour 😘loved camera everything itthis first purchase flipkart,0.267,0.0,0.733,positive
awesome 😊i bought pro max 512 gb,0.406,0.0,0.594,positive
awesome quality,0.804,0.0,0.196,positive
great phone,0.804,0.0,0.196,positive
sooo smooth,0.0,0.0,1.0,neutral
finally long wait got 512 gb iphone 14 pro max deep purple colour superb camera quality look premium upgraded iphone xr battery backup nice thank flipkart timely delivery,0.273,0.0,0.727,positive
bought 1tb pro max  op product delivered safely effectively thank ❤️,0.518,0.0,0.482,positive
awsum perfect product apple 👍🏼,0.481,0.0,0.519,positive
superb camera superb built quality display best market 24hr minimum battery backup daily use moderately sometime play game often  2things awesome sound  never ever experience type sound last least camera night mode beast  video 🔥,0.395,0.0,0.605,positive
awesome camera quality love,0.806,0.0,0.194,positive
nice 👌 awesome 👌,1.0,0.0,0.0,positive
king really super se upar flipkart delivery mind blowing delivered early mine pro max 512gb silver colour,0.208,0.0,0.792,positive
nothing say phone 14 pro max awesome,0.406,0.0,0.594,positive
excellent iphone beautifully crafted technically mastered perfection task ,0.689,0.0,0.311,positive
finally got iphone 14 pro max 512gb  deep purple performance look feel quality awesome image video quality superb without doubt dont think go awesome loved,0.478,0.0,0.522,positive
